id,created_at,room_id,routine_start_time,routine_end_time,employee_id,teacher_initial,course_code,batch,section,entry_type,remarks,photo_url,booked_class_id,start_time,end_time,date_taken,routine_row_id,delay_reason,user_id,extra_slot,row_id
585,2024-10-16 08:56:40.496392+00,KT-G1-014,14:45:00,16:00:00,710003441,MIR,CSE312,,62_G1,late,,,,2024-10-16 14:56:00,2024-10-16 15:53:00,2024-10-16,,,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
586,2024-10-16 08:47:29.823837+00,KT-217,14:45:00,16:00:00,721500419,MHD,CSE414,,59_C,on_time,CLASS ENDED BY SYSTEM,,,2024-10-16 14:47:00,2024-10-16 16:20:00,2024-10-16,,On Time,530f9fb3-d373-48fd-be15-139673c42978,false,
587,2024-10-16 10:02:12.767595+00,KT-304,16:00:00,17:15:00,710002090,AHN,CSE228,,64_H,on_time,,,,2024-10-16 16:02:00,2024-10-16 17:13:00,2024-10-16,,On Time,081c8c62-3e6a-4782-b46f-9c0fcc660345,false,
588,2024-10-17 02:50:26.58949+00,KT-1018,08:30:00,09:45:00,710003229,MK,MCT316,,A,late,Checked the softwares as there were no students available.,,,2024-10-17 08:51:00,2024-10-17 08:56:00,2024-10-17,,"No students available. ",1afcfd85-6132-47b4-b3ec-66951dc94586,false,
589,2024-10-17 03:27:53.077159+00,KT-802,08:30:00,09:45:00,710003385,NRM,MAT101,,67_Q,late,"App was not working from yesterday. Now the problem is solved ",,,2024-10-17 09:27:00,2024-10-17 09:44:00,2024-10-17,,"App was not working. ",09bcd892-818c-4b72-a6da-4cb1a08d24b8,false,
590,2024-10-17 03:45:20.680054+00,KT-802,08:30:00,09:45:00,710003385,NRM,MAT101,,67_Q,late,,,,2024-10-17 09:45:00,2024-10-17 09:45:00,2024-10-17,,,09bcd892-818c-4b72-a6da-4cb1a08d24b8,false,
591,2024-10-17 03:45:30.317853+00,KT-802,08:30:00,09:45:00,710003385,NRM,MAT101,,67_Q,late,,,,2024-10-17 09:45:00,2024-10-17 09:45:00,2024-10-17,,,09bcd892-818c-4b72-a6da-4cb1a08d24b8,false,
592,2024-10-17 03:45:45.672203+00,KT-802,08:30:00,09:45:00,710003385,NRM,MAT101,,67_Q,late,,,,2024-10-17 09:45:00,2024-10-17 09:45:00,2024-10-17,,,09bcd892-818c-4b72-a6da-4cb1a08d24b8,false,
593,2024-10-17 02:33:35.38267+00,KT-307,08:30:00,09:45:00,710002090,AHN,CSE212,,65_H,on_time,,,,2024-10-17 08:33:00,2024-10-17 09:46:00,2024-10-17,,On Time,081c8c62-3e6a-4782-b46f-9c0fcc660345,false,
594,2024-10-17 03:45:09.877416+00,KT-517--A,09:45:00,11:00:00,721500499,AJM,CSE315,,63_A,on_time,,,,2024-10-17 09:45:00,2024-10-17 11:01:00,2024-10-17,,On Time,eb1890b5-03a6-454b-bfe8-16695bca461e,false,
595,2024-10-17 03:52:44.209704+00,KT-914,09:45:00,11:00:00,723500138,SSD,SE222,,41-N,on_time,,,,2024-10-17 09:54:00,2024-10-17 11:13:00,2024-10-17,,On Time,cfe8ff0c-54f4-4676-86d1-58322f77d0b5,false,
596,2024-10-17 05:10:03.412682+00,KT-809,11:00:00,12:15:00,710003375,SMC,CSE216,,65_A,on_time,,,,2024-10-17 11:10:00,2024-10-17 11:15:00,2024-10-17,,On Time,af5862d7-d035-414b-8e89-e8cc02e996cb,false,
597,2024-10-17 05:00:46.791244+00,KT-306,11:00:00,12:15:00,710003565,TAS,CSE313,,61_O,on_time,,,,2024-10-17 11:00:00,2024-10-17 12:14:00,2024-10-17,,On Time,28602855-eb9f-4b4d-9d46-8a7cb71235ad,false,
598,2024-10-17 05:02:39.026046+00,KT-517--A,11:00:00,12:15:00,710003576,MSK,CSE311,,61_P,on_time,,,,2024-10-17 11:02:00,2024-10-17 12:17:00,2024-10-17,,On Time,d854f202-c467-4a7b-ade2-bcc18d68efe0,false,
599,2024-10-17 05:15:50.833045+00,KT-704,11:00:00,12:15:00,710003082,SN,CIS235,,17_A,late,CLASS ENDED BY SYSTEM,,,2024-10-17 11:15:00,2024-10-17 12:40:00,2024-10-17,,"forget to scan class code. class is started at 10.55 a.m. ",3c333e56-a000-4eb3-ae80-ec846e6cd4df,false,
600,2024-10-17 05:18:53.180479+00,KT-G1-008,11:00:00,12:15:00,710003063,MMRN,CSE222,,63_H1,late,CLASS ENDED BY SYSTEM,,,2024-10-17 11:18:00,2024-10-17 12:40:00,2024-10-17,,Students have another class and they came late from 8th floor to ground floor.,689859eb-014c-43a6-8013-529fdb901b39,false,
601,2024-10-17 06:24:46.755817+00,KT-802,12:15:00,13:30:00,710003576,MSK,CSE323,,61_V,on_time,,,,2024-10-17 12:24:00,2024-10-17 13:13:00,2024-10-17,,On Time,d854f202-c467-4a7b-ade2-bcc18d68efe0,false,
602,2024-10-17 06:24:01.88953+00,KT-320,12:15:00,13:30:00,710003441,MIR,CSE311,,62_G,on_time,,,,2024-10-17 12:24:00,2024-10-17 13:21:00,2024-10-17,,On Time,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
603,2024-10-17 06:15:22.937179+00,KT-303,12:15:00,13:30:00,721500499,AJM,CSE315,,63_B,on_time,,,,2024-10-17 12:15:00,2024-10-17 13:31:00,2024-10-17,,On Time,eb1890b5-03a6-454b-bfe8-16695bca461e,false,
604,2024-10-17 07:40:03.657874+00,KT-801-B,13:30:00,14:45:00,710003375,SMC,CSE215,,65_B,on_time,,,,2024-10-17 13:40:00,2024-10-17 13:41:00,2024-10-17,,On Time,af5862d7-d035-414b-8e89-e8cc02e996cb,false,
605,2024-10-17 06:30:04.420924+00,KT-306,12:15:00,13:30:00,710003571,MRIS,CSE121,,66_J,late,CLASS ENDED BY SYSTEM,,,2024-10-17 12:30:00,2024-10-17 14:00:00,2024-10-17,,"no student present in the class ",5e56e292-28da-42f2-a642-4e0e2991fb33,false,
606,2024-10-17 08:26:50.800695+00,KT-306,13:30:00,14:45:00,710003558,MIZ,CSE313,,63_A,late,,,,2024-10-17 14:26:00,2024-10-17 15:01:00,2024-10-17,,,cf70c0ef-d6a6-4036-8646-159e48b7c8f5,false,
607,2024-10-17 08:45:46.968664+00,KT-812,14:45:00,16:00:00,710003429,AMN,STA101,,41-N,on_time,,,,2024-10-17 14:45:00,2024-10-17 16:05:00,2024-10-17,,On Time,8fa4c51d-bc20-4a86-a798-69918ae52f95,false,
608,2024-10-17 09:01:20.995497+00,KT-501-B,14:45:00,16:00:00,710003558,MIZ,CSE314,,63_A1,late,CLASS ENDED BY SYSTEM,,,2024-10-17 15:01:00,2024-10-17 16:20:00,2024-10-17,,,cf70c0ef-d6a6-4036-8646-159e48b7c8f5,false,
609,2024-10-19 02:45:04.924793+00,KT-510,08:30:00,09:45:00,710002507,FZA,CSE112,,67_C,late,,,,2024-10-19 08:45:00,2024-10-19 09:21:00,2024-10-19,,Giving mid term answer script,b54b5c99-4379-4811-af70-a76723ed231b,false,
610,2024-10-19 02:33:21.891338+00,KT-518,08:30:00,09:45:00,710003064,UA,CSE316,,62_F,late,,,,2024-10-19 08:43:00,2024-10-19 09:51:00,2024-10-19,,,664388bc-1640-4114-a612-708a470fc287,false,
611,2024-10-19 02:36:12.391817+00,KT-801-B,08:30:00,09:45:00,710001327,RAM,BNS101,,65_J,on_time,,,,2024-10-19 08:36:00,2024-10-19 09:44:00,2024-10-19,,On Time,5833f358-4ef3-461c-a0e0-72599c60802f,false,
612,2024-10-19 02:35:52.417935+00,KT-919,08:30:00,09:45:00,710002346,IJN,CSE311,,63_G,on_time,,,,2024-10-19 08:37:00,2024-10-19 09:46:00,2024-10-19,,On Time,2e86b5bc-858d-43c9-b340-f0d5956a5c12,false,
614,2024-10-19 02:47:33.166913+00,KT-514,08:30:00,09:45:00,710003441,MIR,CSE311,,62_G,late,,,,2024-10-19 08:47:00,2024-10-19 09:49:00,2024-10-19,,,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
615,2024-10-19 02:40:19.38873+00,KT-501-A,08:30:00,09:45:00,710003214,SAH,CSE124,,66_A,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 08:40:00,2024-10-19 10:20:00,2024-10-19,,On Time,b008e521-cca1-4302-af61-2a6b4213c854,false,
616,2024-10-19 03:11:25.104179+00,KT-G1-002,08:30:00,09:45:00,710003444,CSA,CSE114,,67_H1,late,CLASS ENDED BY SYSTEM,,,2024-10-19 09:13:00,2024-10-19 10:20:00,2024-10-19,,did not get wifi in ground & then managed net connection.,e55fec2d-629f-4733-b1f3-cd8f5f9a5e47,false,
617,2024-10-19 03:52:45.853603+00,KT-517--A,09:45:00,11:00:00,710003576,MSK,CSE323,,61_V,on_time,,,,2024-10-19 09:52:00,2024-10-19 10:56:00,2024-10-19,,On Time,d854f202-c467-4a7b-ade2-bcc18d68efe0,false,
618,2024-10-19 03:50:31.552603+00,KT-303,09:45:00,11:00:00,710001327,RAM,BNS101,,65_H,on_time,,,,2024-10-19 09:50:00,2024-10-19 10:57:00,2024-10-19,,On Time,5833f358-4ef3-461c-a0e0-72599c60802f,false,
619,2024-10-19 03:48:54.587373+00,KT-801-B,09:45:00,11:00:00,710003373,AHAK,CSE445,,61_H,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 09:48:00,2024-10-19 11:20:00,2024-10-19,,On Time,efcbd949-b953-4aea-bcae-04c1c6161004,false,
620,2024-10-19 03:52:10.247324+00,KT-G1-012,09:45:00,11:00:00,710003064,UA,CSE222,,63_I1,late,CLASS ENDED BY SYSTEM,,,2024-10-19 10:02:00,2024-10-19 11:20:00,2024-10-19,,joining in 4International robo olympiad,664388bc-1640-4114-a612-708a470fc287,false,
621,2024-10-19 04:22:49.529804+00,KT-801-A,09:45:00,11:00:00,710003057,RKR,CSE123,,66_K,late,CLASS ENDED BY SYSTEM,,,2024-10-19 10:22:00,2024-10-19 11:20:00,2024-10-19,,,17cd0a93-11cf-4cf6-ac8d-301be74c5742,false,
622,2024-10-19 05:11:05.540088+00,KT-306,11:00:00,12:15:00,710001170,SZ,CSE221,,64_C,late,,,,2024-10-19 11:11:00,2024-10-19 11:38:00,2024-10-19,,On Time,22b24ca6-0a60-423c-b6ad-4021212205e2,false,
623,2024-10-19 05:22:27.09915+00,KT-307,11:00:00,12:15:00,710002507,FZA,CSE112,,67_D,late,,,,2024-10-19 11:22:00,2024-10-19 11:41:00,2024-10-19,,Mid answer script checking,b54b5c99-4379-4811-af70-a76723ed231b,false,
624,2024-10-19 06:13:38.883957+00,KT-G1-014,11:00:00,12:15:00,710003576,MSK,CSE312,,61_P1,late,,,,2024-10-19 12:13:00,2024-10-19 12:13:00,2024-10-19,,,d854f202-c467-4a7b-ade2-bcc18d68efe0,false,
625,2024-10-19 05:03:00.512718+00,KT-305,11:00:00,12:15:00,710003218,DRAR,CSE323,,61_C,on_time,,,,2024-10-19 11:02:00,2024-10-19 12:13:00,2024-10-19,,On Time,34f46e53-9a0a-4b60-9edd-7b107da4ed98,false,
626,2024-10-19 06:15:21.649945+00,KT-220,11:00:00,12:15:00,710001985,FH,CSE325,,61_E,late,,,,2024-10-19 12:15:00,2024-10-19 12:15:00,2024-10-19,,"Sorry,I forgot to scan.Class start at right time ",c491c5ac-700f-4cfc-ad38-bd4aa0e71f3d,false,
627,2024-10-19 05:00:04.934045+00,KT-603,11:00:00,12:15:00,710002760,NI,ITM103,,A_9th,on_time,,,,2024-10-19 11:00:00,2024-10-19 12:17:00,2024-10-19,,On Time,d178eec6-ab85-4681-96de-e61e71bda06b,false,
628,2024-10-19 05:14:34.366281+00,KT-302,11:00:00,12:15:00,710003441,MIR,CSE445,,61_U,late,,,,2024-10-19 11:14:00,2024-10-19 12:20:00,2024-10-19,,,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
629,2024-10-19 05:08:30.459852+00,KT-G1-026,11:00:00,12:15:00,710003444,CSA,CSE313,,63_M,on_time,,,,2024-10-19 11:10:00,2024-10-19 12:25:00,2024-10-19,,On Time,e55fec2d-629f-4733-b1f3-cd8f5f9a5e47,false,
630,2024-10-19 05:08:20.78524+00,KT-G1-004,11:00:00,12:15:00,710002633,FAF,CSE114,,67_K2,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 11:08:00,2024-10-19 12:40:00,2024-10-19,,On Time,284c97e8-f096-4821-b68e-8d83b3588d5e,false,
631,2024-10-19 05:15:13.957198+00,KT-501-A,11:00:00,12:15:00,710002346,IJN,CSE324,,61_A1,late,CLASS ENDED BY SYSTEM,,,2024-10-19 11:17:00,2024-10-19 12:40:00,2024-10-19,,,2e86b5bc-858d-43c9-b340-f0d5956a5c12,false,
632,2024-10-19 05:32:07.550055+00,KT-218,11:00:00,12:15:00,710002096,AS,CSE333,,60_A,late,CLASS ENDED BY SYSTEM,,,2024-10-19 11:32:00,2024-10-19 12:40:00,2024-10-19,,"Robo Soccer ",517d4e48-f4fb-41b3-9c10-7c036666b1aa,false,
633,2024-10-19 06:25:19.43686+00,KT-320,12:15:00,13:30:00,710001327,RAM,BNS101,,65_G,on_time,,,,2024-10-19 12:25:00,2024-10-19 13:26:00,2024-10-19,,On Time,5833f358-4ef3-461c-a0e0-72599c60802f,false,
634,2024-10-19 06:21:20.75698+00,KT-216,12:15:00,13:30:00,710001985,FH,CSE445,,61_B,on_time,,,,2024-10-19 12:21:00,2024-10-19 13:27:00,2024-10-19,,On Time,c491c5ac-700f-4cfc-ad38-bd4aa0e71f3d,false,
635,2024-10-19 06:28:51.041495+00,KT-303,12:15:00,13:30:00,710001783,TFS,CSE115,,67_A,late,,,,2024-10-19 12:28:00,2024-10-19 13:32:00,2024-10-19,,Forgot to scan. Already taken 15 mins of class,066d3d4e-d7ff-4f21-9556-7ce53dbd4aed,false,
636,2024-10-19 07:09:22.763987+00,KT-504,12:15:00,13:30:00,710003565,TAS,CSE315,,RE_A,late,,,,2024-10-19 13:09:00,2024-10-19 13:40:00,2024-10-19,,Forgot to scan the QR code,28602855-eb9f-4b4d-9d46-8a7cb71235ad,false,
637,2024-10-19 07:41:41.706464+00,KT-803,13:30:00,14:45:00,710001985,FH,CSE316,,62_D,late,,,,2024-10-19 13:41:00,2024-10-19 14:45:00,2024-10-19,,forget to scan,c491c5ac-700f-4cfc-ad38-bd4aa0e71f3d,false,
638,2024-10-19 07:40:38.475157+00,KT-222,13:30:00,14:45:00,710003064,UA,CSE423,,60_E,late,,,,2024-10-19 13:50:00,2024-10-19 14:55:00,2024-10-19,,,664388bc-1640-4114-a612-708a470fc287,false,
639,2024-10-19 07:34:58.797778+00,KT-306,13:30:00,14:45:00,710003218,DRAR,AOL101,,65_J,on_time,,,,2024-10-19 13:34:00,2024-10-19 14:46:00,2024-10-19,,On Time,34f46e53-9a0a-4b60-9edd-7b107da4ed98,false,
640,2024-10-19 07:34:32.065682+00,KT-G1-005,13:30:00,14:45:00,710001783,TFS,CSE312,,63_C2,on_time,,,,2024-10-19 13:34:00,2024-10-19 14:46:00,2024-10-19,,On Time,066d3d4e-d7ff-4f21-9556-7ce53dbd4aed,false,
641,2024-10-19 07:36:05.408113+00,KT-G1-011,13:30:00,14:45:00,710003576,MSK,TCSE324,,61_V2,on_time,,,,2024-10-19 13:36:00,2024-10-19 14:48:00,2024-10-19,,On Time,d854f202-c467-4a7b-ade2-bcc18d68efe0,false,
642,2024-10-19 07:30:29.210261+00,KT-602,13:30:00,14:45:00,710002760,NI,ITM307,,A_6th,on_time,,,,2024-10-19 13:30:00,2024-10-19 14:50:00,2024-10-19,,On Time,d178eec6-ab85-4681-96de-e61e71bda06b,false,
643,2024-10-19 07:40:03.499591+00,KT-616,13:30:00,14:45:00,721500461,AAM,SE215,,D2,on_time,,,,2024-10-19 13:40:00,2024-10-19 14:51:00,2024-10-19,,On Time,4bf756ff-95e1-45fb-8d39-e4891c927a28,false,
644,2024-10-19 08:51:40.878368+00,KT-G1-021,14:45:00,16:00:00,710001971,TAB,CSE214,,65_P2,on_time,"I was testing the app for the first time thats why auch timing ",,,2024-10-19 14:51:00,2024-10-19 14:55:00,2024-10-19,,On Time,d776e039-563f-47ca-a418-a1a6be5aff88,false,
645,2024-10-19 07:43:10.40728+00,KT-216,13:30:00,14:45:00,721500536,MMC,BNS101,,65_M,late,,,,2024-10-19 13:43:00,2024-10-19 14:56:00,2024-10-19,," I came earlier but forgot to scan as the system is new su",58775670-ffb2-488e-b760-ba170109dcb6,false,
646,2024-10-19 09:00:05.73732+00,KT-302,14:45:00,16:00:00,710002507,FZA,CSE412,,60_A,late,,,,2024-10-19 15:00:00,2024-10-19 15:09:00,2024-10-19,,"Mid term answer script checking ",b54b5c99-4379-4811-af70-a76723ed231b,false,
647,2024-10-19 07:29:02.46772+00,KT-G1-003,13:30:00,14:45:00,710003444,CSA,CSE114,,67_H2,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 13:31:00,2024-10-19 15:20:00,2024-10-19,,On Time,e55fec2d-629f-4733-b1f3-cd8f5f9a5e47,false,
648,2024-10-19 09:17:00.519461+00,KT-304,14:45:00,16:00:00,710002693,FKM,CSE498,,58_A,late,,,,2024-10-19 15:17:00,2024-10-19 15:47:00,2024-10-19,,"Sorry Sir, I forgot to take the picture.",56a338d8-6646-4071-b6c9-6c6fa44c15c7,false,
649,2024-10-19 08:51:15.58507+00,KT-219,14:45:00,16:00:00,710003064,UA,CSE221,,63_I,late,,,,2024-10-19 15:01:00,2024-10-19 15:59:00,2024-10-19,,,664388bc-1640-4114-a612-708a470fc287,false,
650,2024-10-19 08:56:03.739079+00,KT-G1-017,14:45:00,16:00:00,710003441,MIR,CSE312,,63_D1,late,,,,2024-10-19 14:56:00,2024-10-19 15:51:00,2024-10-19,,,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
651,2024-10-19 09:50:07.720345+00,KT-G1-003,14:45:00,16:00:00,710003444,CSA,CSE114,,67_H2,late,,,,2024-10-19 15:52:00,2024-10-19 15:57:00,2024-10-19,,,e55fec2d-629f-4733-b1f3-cd8f5f9a5e47,false,
652,2024-10-19 08:50:12.951616+00,KT-307,14:45:00,16:00:00,710000878,NNM,CSE421,,59_B,on_time,,,,2024-10-19 14:50:00,2024-10-19 15:55:00,2024-10-19,,On Time,3b95f450-5544-4eba-8c16-b2ae4c4b4f72,false,
653,2024-10-19 08:57:55.855344+00,KT-G1-016,14:45:00,16:00:00,710002346,IJN,CSE312,,63_G2,late,,,,2024-10-19 14:59:00,2024-10-19 16:09:00,2024-10-19,,,2e86b5bc-858d-43c9-b340-f0d5956a5c12,false,
654,2024-10-19 08:51:25.125081+00,KT-318-A,14:45:00,16:00:00,710002633,FAF,CSE113,,67_G,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 14:51:00,2024-10-19 16:20:00,2024-10-19,,On Time,284c97e8-f096-4821-b68e-8d83b3588d5e,false,
655,2024-10-19 08:52:11.080612+00,KT-610,14:45:00,16:00:00,721500461,AAM,SE322,,37-D2,on_time,CLASS ENDED BY SYSTEM,,,2024-10-19 14:52:00,2024-10-19 16:20:00,2024-10-19,,On Time,4bf756ff-95e1-45fb-8d39-e4891c927a28,false,
656,2024-10-19 09:15:03.765471+00,KT-616,14:45:00,16:00:00,710003367,AHZ,SE132,,A2,late,CLASS ENDED BY SYSTEM,,,2024-10-19 15:15:00,2024-10-19 16:20:00,2024-10-19,,Internet issue,9ab313ef-4382-4bf4-af00-3eaf4471b291,false,
657,2024-10-19 10:17:04.972539+00,KT-223,16:00:00,17:15:00,710002693,FKM,CSE498,,58_B,late,,,,2024-10-19 16:17:00,2024-10-19 16:59:00,2024-10-19,,"Sir, first time class room was locked.",56a338d8-6646-4071-b6c9-6c6fa44c15c7,false,
658,2024-10-20 02:39:52.369383+00,KT-G1-021,08:30:00,09:45:00,710003575,TAK,CSE314,,61_I1,on_time,,,,2024-10-20 08:39:00,2024-10-20 09:33:00,2024-10-20,,On Time,ce2eacc4-4203-41c0-a406-114faf238e8a,false,
659,2024-10-20 02:45:03.285521+00,KT-303,08:30:00,09:45:00,710000634,SSK,PHY101,,67_I,late,,,,2024-10-20 08:45:00,2024-10-20 09:39:00,2024-10-20,,,12e48d34-ccc3-485a-ba2e-9d949186a14c,false,
660,2024-10-20 03:32:21.419946+00,KT-208,08:30:00,09:45:00,710003214,SAH,CSE123,,66_A,late,early,,,2024-10-20 09:32:00,2024-10-20 09:40:00,2024-10-20,,forgot,b008e521-cca1-4302-af61-2a6b4213c854,false,
661,2024-10-20 02:30:44.633269+00,KT-G1-009,08:30:00,09:45:00,710002793,MUM,CSE332,,60_D2,on_time,,,,2024-10-20 08:30:00,2024-10-20 09:41:00,2024-10-20,,On Time,3e85d3e9-062c-48e6-8d5d-0a5c974dca45,false,
662,2024-10-20 02:51:51.568052+00,KT-217,08:30:00,09:45:00,710003431,SNK,CSE115,,67_K,late,,,,2024-10-20 08:51:00,2024-10-20 09:41:00,2024-10-20,,"It was showing ""No class"". After trying several times it worked.",d82d2098-c170-487e-8224-047c0952de50,false,
663,2024-10-20 03:44:43.972072+00,KT-208,08:30:00,09:45:00,710003214,SAH,CSE123,,66_A,late,ok,,,2024-10-20 09:44:00,2024-10-20 09:44:00,2024-10-20,,no way,b008e521-cca1-4302-af61-2a6b4213c854,false,
664,2024-10-20 02:30:17.977188+00,KT-919,08:30:00,09:45:00,710003038,DS,CSE227,,64_N,on_time,,,,2024-10-20 08:30:00,2024-10-20 09:45:00,2024-10-20,,On Time,310a4ce7-7e4c-4307-875d-3b92e4ad89cb,false,
665,2024-10-20 02:36:59.822805+00,KT-503,08:30:00,09:45:00,710002346,IJN,CSE312,,63_H1,on_time,,,,2024-10-20 08:39:00,2024-10-20 09:47:00,2024-10-20,,On Time,2e86b5bc-858d-43c9-b340-f0d5956a5c12,false,
666,2024-10-20 02:30:08.494853+00,KT-307,08:30:00,09:45:00,710002090,AHN,CSE228,,64_G,on_time,,,,2024-10-20 08:30:00,2024-10-20 09:46:00,2024-10-20,,On Time,081c8c62-3e6a-4782-b46f-9c0fcc660345,false,
667,2024-10-20 02:39:22.958592+00,KT-216,08:30:00,09:45:00,710003375,SMC,CSE215,,65_C,on_time,,,,2024-10-20 08:39:00,2024-10-20 09:49:00,2024-10-20,,On Time,af5862d7-d035-414b-8e89-e8cc02e996cb,false,
668,2024-10-20 02:41:52.14633+00,KT-G1-011,08:30:00,09:45:00,710001985,FH,CSE326,,61_E1,late,,,,2024-10-20 08:41:00,2024-10-20 09:55:00,2024-10-20,,Poor Network Connection to scan,c491c5ac-700f-4cfc-ad38-bd4aa0e71f3d,false,
669,2024-10-20 02:30:12.633544+00,KT-702,08:30:00,09:45:00,710003415,NKS,CIS216,,18_A,on_time,two time missed,,,2024-10-20 08:30:00,2024-10-20 09:59:00,2024-10-20,,On Time,bb2856e0-f052-4264-a726-d66e2c5416dd,false,
670,2024-10-20 02:30:43.414367+00,KT-G1-013,08:30:00,09:45:00,721500419,MHD,CSE415,,59_C1,on_time,CLASS ENDED BY SYSTEM,,,2024-10-20 08:30:00,2024-10-20 10:20:00,2024-10-20,,On Time,530f9fb3-d373-48fd-be15-139673c42978,false,
671,2024-10-20 02:33:53.385555+00,KT-G1-006,08:30:00,09:45:00,710002507,FZA,TCSE413,,60_A1,on_time,CLASS ENDED BY SYSTEM,,,2024-10-20 08:33:00,2024-10-20 10:20:00,2024-10-20,,On Time,b54b5c99-4379-4811-af70-a76723ed231b,false,
672,2024-10-20 02:34:48.737059+00,KT-815,08:30:00,09:45:00,710003403,AEE,PHY103,,66_E1,on_time,CLASS ENDED BY SYSTEM,,,2024-10-20 08:34:00,2024-10-20 10:20:00,2024-10-20,,On Time,5abb5b21-7def-4020-87eb-7676682f97d5,false,
673,2024-10-20 02:35:21.87583+00,KT-318-B,08:30:00,09:45:00,710002693,FKM,CSE311,,63_E,on_time,CLASS ENDED BY SYSTEM,,,2024-10-20 08:35:00,2024-10-20 10:20:00,2024-10-20,,On Time,56a338d8-6646-4071-b6c9-6c6fa44c15c7,false,
